City,Latitude,Longitude
Heidelberg,49.4093582,8.694724
Senden,48.3251884,10.0471189
Borna,51.1241649,12.4999055
Bad Saulgau,48.0158071,9.5010309
Cham,49.2178194,12.6663832
Herne,51.5380394,7.219985
Gera,50.8765528,12.0832674
Lenningen,48.5579923,9.4660443
Emden,53.3670541,7.2058304
Niederstetten,49.4003232,9.9189607
Olpe,51.029482,7.8435278
Heinersreuth,49.9666484,11.5341077
Speichersdorf,49.8743854,11.7835056
Potsdam,52.4009309,13.0591397
Bergisch Gladbach,50.9929303,7.1277379
Brandenburg an der Havel,52.4108261,12.5497933
Lengerich,52.1887731,7.8508691
Poppenhausen,50.0995888,10.1438247
Friesoythe,53.0206088,7.8592307
Lingen,52.5224659,7.316584
Jena,50.9281717,11.5879359
Griepswohld,54.095791,13.3815238
Garrel,52.9554303,8.0225529
Herbrechtingen,48.6226932,10.1761696
Friedberg,50.3352682,8.7539306
Ulm,48.3984968,9.9912458
Markgröningen,48.9050626,9.0808114
Dinslaken,51.5623618,6.7345106
Geyer,50.623596,12.9249831
Ilmenau,50.6867695,10.9142385
Freital,51.016265,13.6530329
Engelsbrand,48.8310442,8.6444312
Planegg,48.103742,11.4220029
Zwingenberg,49.7242,8.5915
Abensberg,48.8332409,11.8570782
Weinähr,50.3195988,7.8438775
Wiefelstede,53.2558626,8.1150123
Fritzlar,51.1537071,9.2645106
Rheda-Wiedenbrück,51.8428202,8.2985615
Neunkirchen-Seelscheid,50.8545062,7.3294965
Tittmoning,48.0621714,12.7676484
Kamen,51.5918019,7.6616804
Haimhausen,48.315762,11.554494
Weißwasser,50.5014795,14.8041263
Triberg,48.1298016,8.232271
Herrsching am Ammersee,47.9992929,11.1748083
Oberndorf am Neckar,48.2908613,8.5711222
Schwäbisch Hall,49.1123963,9.7369047
Tashkent,41.3123363,69.2787079
Bad Windsheim,49.5020006,10.4175301
Arnstadt,50.8349097,10.9461479
Selm,51.7005549,7.468614
Neu-Isenburg,50.0464196,8.6717748
Buttstädt,51.1213474,11.4168304
Forst,51.7438586,14.6455395
Kaltenkirchen,53.8371714,9.9614889
Neuenkirchen,54.23649,8.9877874
Eystrup,52.7814673,9.2242199
Kirn,49.7861037,7.4584035
Neunkirchen,49.3533493,6.5564888
Buchholz,53.2759502,12.6459399
Mittweida,50.9854597,12.9810458
Altötting,48.2268085,12.6757914
Saint Petersburg,59.9606739,30.1586551
Bad Emstal,51.2558597,9.2493249
Mandelbachtal,49.1864983,7.1519119
Riga,56.9493977,24.1051846
Bingen,49.9675456,7.8944
Floß,49.7255408,12.278355
Wülfrath,51.2818569,7.0328063
Holzminden,51.8989989,9.5741099
Göttingen,51.5328328,9.9351811
Bergheim,48.2056672,7.3621755
London,51.4893335,-0.1440551
Niedenstein,51.2152682,9.3061335
Kaliningrad,54.7046485,20.4565666
Hilchenbach,50.9935863,8.107365
Eggenstein-Leopoldshafen,49.088332,8.4003114
Rosengarten,53.3983771,9.9048979
Schwaig,47.7916138,11.3924139
Tettnang,47.6716558,9.5891158
Wismar,53.8909832,11.4647932
Ahaus,52.0761541,7.004876
Bat yam,32.0128493,34.746913
Rodewisch,50.5308866,12.4047996
Schrozberg,49.3457515,9.9815378
Hoyerswerda,51.4333103,14.250083
Aschersleben,51.7559549,11.462134
Teterow,53.7709505,12.5753569
Backnang,48.9470756,9.4297925
Kamenskoe,45.2811,35.524
Kirchlengern,52.1983452,8.6440034
Delitzsch,51.5255661,12.342857
Walldorf,49.3038134,8.6433518
Königstein im Taunus,50.195133,8.4628165
Brühl,50.8291313,6.9037057
Neubrandenburg,53.5574458,13.2602781
Viernheim,49.5401213,8.5785313
Fernwald,50.5673903,8.7770992
Kemnath,49.8581156,11.9355154
Hattgenstein,49.6972459,7.1592865
Neukirchen-Vluyn,51.4413742,6.5467641
Wolnzach,48.603,11.6269977
Hofkirchen,48.6779936,13.118189
Moscow,55.625578,37.6063916
Nastätten,50.199081,7.858179
Zerbst,51.9697398,12.0745464
Grafenau,48.8576397,13.3938284
Postbauer-Heng,49.3030329,11.3507199
Neutraubling,48.9926567,12.1990753
Meinersen,52.4713946,10.3610062
Espenau,51.3913412,9.4582002
Grevenbroich,51.0862467,6.5848937
Deggendorf,48.7814115,13.0006423
Niedereschach,48.1322687,8.528116
Donauwörth,48.7180364,10.7807299
Norderney,53.7056126,7.1438175
Itzehoe,53.919448,9.5172441
Münchhausen,48.9196671,8.1484455
Marsberg,51.4602168,8.8552071
Oberrot,49.0144949,9.6634485
Weilheim,47.6582006,8.2413047
Beckingen,49.3877286,6.704062
Lemgo,52.0280674,8.9012894
Werlte,52.8518701,7.6764179
Hennigsdorf,52.6375777,13.2057511
Pfaffenhofen,47.2987869,11.0830431
Waldenburg,48.7503918,7.1965445
Schieder-Schwalenberg,51.8980505,9.1751832
Nordhausen,51.5051574,10.7925317
Dormagen,51.0934389,6.8416158
Dußlingen,48.4515213,9.0578168
Ottersweier,48.6687192,8.110948
Voerde,51.5975224,6.6811994
Lotte,52.2752188,7.9159335
Mahlberg,48.2871478,7.8124221
Seesen,51.8905566,10.1703902
Baesweiler,50.9074568,6.1826282
Nagold,48.5512399,8.7234942
Löningen,52.7363493,7.7570655
Dettelbach,49.8019103,10.1612139
Kleinostheim,50.0038042,9.0655061
Unterschneidheim,48.9408509,10.3639341
Sand am Main,49.9796901,10.589493
Wangen im Allgäu,47.6856552,9.8342247
Maasbree,51.3586733,6.047488
Homburg,47.758716,7.5063314
Bad Abbach,48.9357145,12.0401868
Birkenfeld,49.6488236,7.1647477
Phuket,7.9366015,98.3529292
Almaty,43.2363924,76.9457275
Böblingen,48.684969,9.0113444
Adelebsen,51.579484,9.7524477
Sigmarszell,47.5891157,9.7624451
Neuhäusel,48.8237291,8.0856866
Lehre,52.3286295,10.6678432
Herzogenaurach,49.5710376,10.8815262
Mömlingen,49.8583309,9.0842372
Michelstadt,49.68841,9.05647
Niesky,51.2921267,14.8250955
Neuwied,50.4302393,7.466302
Freren,52.4858972,7.5459254
Nienburg/Weser,52.6487602,9.2578105
Heimbach,49.6141458,7.2481879
Euerbach,50.0618207,10.1338361
Waldkraiburg,48.2061851,12.4021839
Saarlouis,49.3164661,6.749846
Litzendorf,49.9123064,11.0096505
Fröndenberg,51.471343,7.7617558
Überlingen,47.7664456,9.1605106
Bad Soden am Taunus,50.1517006,8.4899671
Lauf,48.6485831,8.1292199
Anklam,53.8560526,13.688091
Hachenburg,50.6627538,7.8253173
Pfinztal,48.9918661,8.5553158
Szczecin,53.4301818,14.5509623
Leutkirch im Allgäu,47.8266137,10.0228027
Neusäß,48.3928722,10.8354535
Mühlhausen,51.2094255,10.4589044
Annaberg-Buchholz,50.5788781,13.0106108
Blumberg,47.8401424,8.534081
Retzstadt,49.9125,9.88194
Kolbermoor,47.8556623,12.0595795
Donaueschingen,47.9534194,8.4959257
Rendsburg,54.3000225,9.6516356
Namur,50.4665284,4.8661892
Dingolfing,48.6300801,12.4977434
Dinkelscherben,48.3485454,10.5909932
Neuburg an der Donau,48.7371951,11.1795268
Halle (Saale),51.4824354,11.9712985
Sundern,51.329832,8.0072645
Tübingen,48.5203263,9.053596
Sexau,48.1024366,7.9082564
Vaihingen an der Enz,48.9321398,8.9568316
Steinbach,47.821081,7.153381
Imsbach,49.5839255,7.8818682
Harsewinkel,51.9617153,8.2252425
Bad Feilnbach,47.7745858,12.0070798
Marne,48.961264,4.3122436
Hückeswagen,51.1504872,7.3413999
Kappelrodeck,48.591285,8.1177267
Ehrensberg,48.0263646,9.9274316
Dettenhausen,48.6084636,9.0983623
Wittstock,53.2869674,14.6135248
Vellberg,49.0864261,9.8812131
Bad Vilbel,50.19339,8.74918
Kluse,52.9330023,7.3464411
Hockenheim,49.3188892,8.5475467
Włodawa,51.541278,23.5290368
Kelkheim,50.1344038,8.4531845
Viereth-Trunstadt,49.9223081,10.7579534
Nellingen,48.9655592,6.8667693
Fürstenfeldbruck,48.1794705,11.2547202
Glandorf,52.081578,8.0033646
Nisterberg,50.6800175,7.9780672
Landsberg am Lech,48.0497474,10.8768728
Bamberg,49.8916044,10.8868478
Kernen im Remstal,48.7965338,9.3286487
Nottuln,51.9296679,7.3532741
Hechingen,48.3525529,8.9642047
Marktredwitz,50.0009915,12.0856433
Beilstein,49.0403804,9.3137915
Heusweiler,49.3385074,6.9298799
Aidlingen,48.6785572,8.8983347
Bernau,52.6787254,13.5881114
Niederstotzingen,48.5408791,10.2332512
Porta Westfalica,52.2394431,8.924762
Volgodonsk,47.5182668,42.1525935
Burg,43.1893067,0.3267126
Hüttisheim,48.2795369,9.9410539
Königslutter,52.22535,10.7895313
Melsungen,51.1425944,9.5833158
Bitterfeld-Wolfen,51.6425032,12.3076334
Uhldingen-Mühlhofen,47.7348858,9.2400277
Grafenhausen,47.7744797,8.2606207
Freudenstadt,48.4637727,8.4111727
Mengerskirchen,50.5524615,8.1886382
Heppenheim,49.64999,8.66768
Nürtingen,48.6265854,9.3365463
Rothenburg ob der Tauber,49.3772526,10.1790017
Sasbach,48.6390302,8.0924882
Malchin,53.7382631,12.7644198
Schmölln,50.9078332,12.3370882
Lengenfeld,50.5694023,12.3652544
Miesbach,47.790025,11.8335417
Gröbenzell,48.1942336,11.370911
Eching,48.2975862,11.6221618
